hand_side,orientation,index_angle,middle_angle,ring_angle,thumb_index_distance,ball_thumb_distance,ball_index_distance,ball_middle_distance,ball_ring_distance,wrist_angle,wrist_rotation_angle,thumb_angle,index_curl,middle_curl,ring_curl,pinky_curl,index_middle_distance,middle_ring_distance,ring_pinky_distance,ball_index_mcp_distance,ball_middle_mcp_distance,ball_ring_mcp_distance,ball_coverage_ratio,label
RIGHT,PALM,126.04,114.74,132.16,0.8953,0.4705,0.5146,0.4178,0.7031,83.34,-98.86,176.79,126.04,114.74,132.16,162.83,0.1065,1.1199,0.1467,0.3087,0.5029,0.691,0.4662,seam_grip
RIGHT,PALM,127.87,121.84,132.36,0.909,0.5224,0.4753,0.4177,0.7432,83.62,-99.0,178.32,127.87,121.84,132.36,160.39,0.0893,1.1594,0.1405,0.2925,0.4833,0.6835,0.4465,seam_grip
RIGHT,PALM,123.67,120.61,128.52,0.9122,0.5713,0.4156,0.3715,0.7881,83.27,-99.5,179.92,123.67,120.61,128.52,153.41,0.0779,1.1583,0.1522,0.3341,0.5055,0.7052,0.3936,seam_grip
RIGHT,PALM,121.14,116.68,128.52,0.9099,0.5777,0.4157,0.3627,0.7862,82.32,-100.48,179.79,121.14,116.68,128.52,148.54,0.0731,1.1489,0.1548,0.2971,0.4679,0.6639,0.3892,seam_grip
RIGHT,PALM,114.21,111.73,122.62,0.8937,0.4687,0.4728,0.435,0.654,81.45,-102.21,172.06,114.21,111.73,122.62,145.99,0.0711,1.0799,0.1594,0.3121,0.4914,0.6777,0.4539,seam_grip
RIGHT,PALM,137.02,137.07,126.45,0.8628,0.4477,0.4838,0.4462,0.6885,83.13,-98.12,176.26,137.02,137.07,126.45,140.06,0.0524,1.1324,0.1861,0.4203,0.5894,0.7483,0.465,seam_grip
RIGHT,PALM,129.61,129.35,113.98,0.7115,0.4021,0.447,0.4337,0.6716,89.59,-87.86,175.86,129.61,129.35,113.98,109.18,0.0134,1.0976,0.1759,0.4264,0.5559,0.6579,0.4403,seam_grip
RIGHT,BACK,130.49,140.99,60.6,0.6806,0.1607,0.5998,0.4479,0.7077,84.6,-76.84,170.79,130.49,140.99,60.6,40.17,0.2474,1.1491,0.1618,0.6756,0.6783,0.709,0.5238,seam_grip
RIGHT,BACK,127.82,140.92,55.2,0.662,0.1288,0.5495,0.4288,0.7286,84.55,-76.56,171.52,127.82,140.92,55.2,41.22,0.2455,1.1447,0.164,0.6816,0.6851,0.7296,0.4891,seam_grip
RIGHT,BACK,124.55,133.71,54.06,0.602,0.1803,0.4264,0.3458,0.7743,85.87,-78.47,173.13,124.55,133.71,54.06,38.86,0.2216,1.0971,0.17,0.6718,0.69,0.7464,0.3861,seam_grip
