hand_side,orientation,index_angle,middle_angle,ring_angle,thumb_index_distance,ball_thumb_distance,ball_index_distance,ball_middle_distance,ball_ring_distance,wrist_angle,label
RIGHT,BACK,162.51,176.02,24.34,0.7436,0.1747,0.5776,0.6007,0.8458,89.66,seam_grip
RIGHT,BACK,168.49,179.22,36.83,0.651,0.1002,0.552,0.464,0.6734,87.83,seam_grip
RIGHT,BACK,161.22,176.77,35.35,0.7154,0.2158,0.5026,0.4187,0.6655,88.13,seam_grip
RIGHT,BACK,165.78,175.46,38.4,0.7828,0.2225,0.5691,0.5213,0.6402,87.61,seam_grip
RIGHT,BACK,166.33,176.46,40.29,0.804,0.2062,0.603,0.5394,0.6041,88.58,seam_grip
RIGHT,BACK,164.2,170.3,24.66,0.8383,0.262,0.5795,0.4581,0.7047,88.26,seam_grip
RIGHT,BACK,154.96,164.68,33.66,0.7027,0.2312,0.4718,0.3784,0.6292,88.02,seam_grip
RIGHT,BACK,150.28,163.28,28.61,0.6694,0.2777,0.3917,0.379,0.6577,87.85,seam_grip
RIGHT,BACK,153.57,170.73,43.69,0.6481,0.2038,0.4446,0.4188,0.5685,87.64,seam_grip
RIGHT,BACK,152.69,160.95,25.54,0.6861,0.2538,0.4334,0.3918,0.6899,88.4,seam_grip
RIGHT,BACK,158.25,171.99,47.27,0.5704,0.1464,0.5102,0.2924,0.4974,88.17,seam_grip
RIGHT,BACK,166.04,178.38,60.34,0.7353,0.5489,0.1867,0.1941,0.6521,88.04,seam_grip
RIGHT,BACK,168.79,176.33,50.26,0.6696,0.1884,0.4842,0.6258,0.6115,82.24,seam_grip
RIGHT,BACK,164.17,173.52,54.59,0.5795,0.071,0.5132,0.574,0.571,82.75,seam_grip
RIGHT,BACK,23.19,30.99,35.33,0.8701,1.2631,1.8996,2.1635,2.5385,24.99,seam_grip
RIGHT,BACK,165.2,173.52,52.85,0.5852,0.1508,0.4365,0.5264,0.6478,82.05,seam_grip
RIGHT,BACK,165.03,176.52,50.85,0.6827,0.178,0.5048,0.5889,0.5934,82.84,seam_grip
RIGHT,BACK,163.48,175.16,46.57,0.643,0.1852,0.458,0.5563,0.6266,83.32,seam_grip
RIGHT,BACK,166.93,177.07,42.9,0.936,0.5134,0.5371,0.7005,0.8441,82.21,seam_grip
RIGHT,BACK,164.61,179.99,40.93,0.9456,0.4502,0.6465,0.7957,0.8164,82.54,seam_grip
RIGHT,BACK,165.91,177.24,52.67,0.8174,0.3377,0.6719,0.8056,0.6552,82.18,seam_grip
RIGHT,BACK,167.82,176.75,50.9,0.8095,0.3655,0.5374,0.7178,0.7649,81.78,seam_grip
RIGHT,BACK,166.17,177.48,46.28,0.9435,0.4809,0.5954,0.7277,0.8146,81.31,seam_grip
RIGHT,BACK,41.95,21.07,8.2,0.2553,0.2423,0.1177,0.0984,0.5732,88.76,seam_grip
RIGHT,BACK,33.33,19.0,9.76,0.2148,0.308,0.1833,0.1355,0.6257,88.67,seam_grip
RIGHT,BACK,43.73,19.66,8.88,0.266,0.2764,0.1319,0.1238,0.6183,88.64,seam_grip
RIGHT,BACK,44.35,21.92,9.68,0.2568,0.3022,0.1292,0.1231,0.6273,88.42,seam_grip
RIGHT,BACK,43.47,23.86,11.75,0.2561,0.2832,0.1299,0.1116,0.609,88.08,seam_grip
RIGHT,BACK,39.87,20.97,10.41,0.2297,0.3051,0.1486,0.1389,0.6382,88.77,seam_grip
RIGHT,BACK,42.74,19.45,10.45,0.2679,0.3101,0.1324,0.1459,0.6435,88.73,seam_grip
RIGHT,BACK,47.22,19.62,10.44,0.2599,0.2634,0.1035,0.167,0.6289,88.66,seam_grip
RIGHT,BACK,43.71,19.81,10.54,0.2613,0.2808,0.1323,0.1508,0.6478,88.28,seam_grip
RIGHT,BACK,34.82,18.64,13.29,0.1949,0.3162,0.1961,0.2033,0.6705,88.38,seam_grip
RIGHT,BACK,36.62,18.21,9.19,0.2188,0.2814,0.1695,0.1565,0.6416,87.83,seam_grip
RIGHT,BACK,52.11,28.34,7.16,0.3018,0.2657,0.1469,0.0886,0.6659,87.36,seam_grip
RIGHT,BACK,52.42,29.91,28.72,0.3064,0.1424,0.1912,0.0546,0.5423,87.91,seam_grip
RIGHT,BACK,47.65,25.26,28.05,0.2945,0.1658,0.1652,0.0665,0.5461,88.16,seam_grip
RIGHT,BACK,46.76,25.27,30.36,0.2917,0.1495,0.1764,0.0494,0.5523,88.29,seam_grip
RIGHT,BACK,45.97,25.15,24.86,0.284,0.1435,0.1767,0.0549,0.543,88.29,seam_grip
RIGHT,BACK,46.54,27.28,27.44,0.2869,0.1666,0.1633,0.0546,0.5607,88.48,seam_grip
RIGHT,BACK,49.72,26.31,29.21,0.3118,0.1787,0.1693,0.0634,0.5592,88.42,seam_grip
RIGHT,BACK,45.81,24.71,27.81,0.2807,0.1358,0.1676,0.0592,0.5441,88.09,seam_grip
RIGHT,BACK,44.22,30.32,32.86,0.281,0.1375,0.1694,0.0671,0.5424,88.52,seam_grip
RIGHT,BACK,45.56,25.41,31.5,0.2917,0.1602,0.1666,0.0674,0.5618,88.13,seam_grip
RIGHT,BACK,45.95,33.33,26.85,0.2954,0.1654,0.1683,0.064,0.5456,87.95,seam_grip
RIGHT,BACK,47.67,29.6,26.61,0.2095,0.068,0.1432,0.0588,0.5282,77.37,seam_grip
RIGHT,BACK,38.48,26.8,27.97,0.1904,0.0463,0.1502,0.0721,0.5452,80.41,seam_grip
RIGHT,BACK,38.88,26.93,30.1,0.1915,0.0453,0.1473,0.0773,0.534,80.27,seam_grip
RIGHT,BACK,50.86,29.16,31.37,0.2342,0.1076,0.1466,0.0759,0.5752,82.89,seam_grip
RIGHT,BACK,50.41,28.78,31.22,0.2357,0.124,0.1323,0.0755,0.5631,83.91,seam_grip
RIGHT,BACK,46.5,27.28,31.37,0.2117,0.1106,0.1258,0.0777,0.5609,84.09,seam_grip
RIGHT,BACK,46.06,27.83,30.09,0.2113,0.1114,0.1279,0.0862,0.5637,83.48,seam_grip
RIGHT,BACK,44.47,27.27,31.28,0.2088,0.1204,0.1229,0.0941,0.5808,83.99,seam_grip
RIGHT,BACK,53.78,31.9,34.76,0.2539,0.1315,0.1363,0.0794,0.5879,83.77,seam_grip
RIGHT,BACK,44.32,27.62,34.07,0.2152,0.1194,0.1187,0.0779,0.5864,82.44,seam_grip
RIGHT,BACK,11.7,13.03,24.98,0.1741,0.0766,0.0998,0.2997,0.642,83.49,seam_grip
RIGHT,BACK,4.02,11.98,22.39,0.2699,0.0987,0.1763,0.2927,0.5802,83.26,seam_grip
RIGHT,BACK,9.5,10.68,23.4,0.2351,0.0384,0.2137,0.3344,0.6267,83.35,seam_grip
RIGHT,BACK,140.54,165.67,15.46,0.5087,0.1233,0.3858,0.3319,0.5848,89.06,seam_grip
RIGHT,BACK,144.91,172.8,17.36,0.5071,0.0677,0.4423,0.3979,0.6225,89.67,seam_grip
RIGHT,BACK,151.67,177.32,16.36,0.5481,0.1099,0.4387,0.208,0.6238,88.98,seam_grip
RIGHT,BACK,35.39,11.53,9.16,0.1935,0.113,0.161,0.1351,0.567,88.33,seam_grip
RIGHT,BACK,30.55,9.87,8.61,0.1777,0.1626,0.1756,0.1488,0.5822,88.7,seam_grip
RIGHT,BACK,33.57,8.66,9.09,0.2022,0.1583,0.1757,0.1441,0.5918,88.26,seam_grip
RIGHT,BACK,77.88,15.01,14.36,0.3511,0.1343,0.2277,0.0559,0.5604,88.75,seam_grip
RIGHT,BACK,35.72,10.8,7.66,0.2165,0.1489,0.165,0.1376,0.5755,88.63,seam_grip
RIGHT,BACK,56.38,10.9,10.08,0.3057,0.1469,0.2068,0.1195,0.5772,89.01,seam_grip
RIGHT,BACK,58.51,13.03,8.35,0.2982,0.161,0.1892,0.1161,0.5769,88.82,seam_grip
RIGHT,BACK,52.37,11.92,8.34,0.3029,0.1785,0.1911,0.1226,0.5789,88.93,seam_grip
RIGHT,BACK,56.46,10.44,9.79,0.2917,0.116,0.2106,0.0992,0.5484,88.87,seam_grip
RIGHT,BACK,44.37,10.01,6.2,0.3536,0.1891,0.1655,0.149,0.4485,88.72,seam_grip
RIGHT,BACK,52.51,7.29,9.05,0.4235,0.1882,0.2366,0.1278,0.4254,88.09,seam_grip
RIGHT,BACK,158.49,3.97,14.4,0.5655,0.1267,0.4483,0.126,0.349,88.68,seam_grip
RIGHT,BACK,171.12,0.93,14.12,0.6643,0.1286,0.5675,0.0926,0.3764,89.7,seam_grip
RIGHT,BACK,95.56,9.0,8.05,0.3954,0.1366,0.4007,0.1816,0.3844,89.47,seam_grip
RIGHT,BACK,150.97,162.22,2.97,0.5263,0.1193,0.5409,0.4893,0.7388,76.69,seam_grip
RIGHT,BACK,150.47,161.85,4.15,0.5475,0.0812,0.5488,0.4743,0.8225,76.8,seam_grip
RIGHT,BACK,149.46,162.65,3.3,0.5437,0.0904,0.5234,0.4852,0.8095,77.21,seam_grip
RIGHT,BACK,148.98,159.11,4.83,0.5403,0.0344,0.5108,0.4459,0.8114,77.56,seam_grip
RIGHT,BACK,150.74,161.58,3.17,0.5475,0.0347,0.5472,0.4721,0.7844,77.47,seam_grip
RIGHT,BACK,151.93,157.62,10.72,0.5795,0.0786,0.5677,0.4436,0.8562,74.08,seam_grip
RIGHT,BACK,152.56,158.68,8.04,0.5687,0.0688,0.5845,0.4529,0.843,74.1,seam_grip
RIGHT,BACK,143.93,144.78,14.5,0.5512,0.1173,0.5377,0.3748,0.8099,71.48,seam_grip
RIGHT,BACK,143.28,145.16,14.84,0.538,0.1042,0.5051,0.3502,0.8114,71.35,seam_grip
RIGHT,BACK,142.6,144.68,13.59,0.505,0.0996,0.4797,0.3234,0.8126,71.7,seam_grip
RIGHT,BACK,142.65,144.52,13.68,0.5419,0.1059,0.5151,0.3567,0.8021,71.52,seam_grip
RIGHT,BACK,142.29,147.34,13.93,0.523,0.1137,0.5014,0.365,0.811,71.59,seam_grip
RIGHT,BACK,130.28,141.44,36.02,0.4069,0.1969,0.5613,0.4527,0.6989,65.95,seam_grip
RIGHT,BACK,128.93,140.44,35.55,0.4223,0.2039,0.4935,0.4533,0.7635,65.61,seam_grip
RIGHT,BACK,137.12,150.57,24.07,0.4916,0.1729,0.5211,0.4821,0.7905,65.77,seam_grip
RIGHT,BACK,159.65,176.7,38.25,0.6463,0.1467,0.7533,0.8004,0.8499,82.12,seam_grip
RIGHT,BACK,156.91,176.96,20.83,0.7698,0.2689,0.6526,0.7627,0.8983,82.14,seam_grip
RIGHT,BACK,156.33,177.3,20.73,0.768,0.2302,0.6334,0.7153,0.8763,82.1,seam_grip
RIGHT,BACK,156.39,175.69,20.28,0.7352,0.218,0.6001,0.7078,0.846,82.66,seam_grip
RIGHT,BACK,156.3,179.07,19.92,0.771,0.2379,0.6731,0.7291,0.8677,82.67,seam_grip
RIGHT,BACK,163.69,178.08,34.54,0.7848,0.1748,0.6103,0.8073,0.8026,89.03,seam_grip
RIGHT,BACK,163.97,177.68,30.37,0.8643,0.2347,0.6458,0.8659,0.8558,89.29,seam_grip
RIGHT,BACK,162.62,176.92,32.82,0.8115,0.1654,0.649,0.8603,0.851,88.75,seam_grip
RIGHT,BACK,161.55,178.01,30.27,0.8654,0.2915,0.582,0.8054,0.8904,89.2,seam_grip
RIGHT,BACK,162.45,177.41,31.82,0.843,0.2358,0.6172,0.8222,0.859,88.5,seam_grip
RIGHT,BACK,161.84,177.04,30.98,0.8088,0.1651,0.6491,0.8501,0.8526,88.1,seam_grip
